system:index,LST_Day_1km_max,LST_Day_1km_median,LST_Day_1km_min,LST_Day_1km_stdDev,modis_time,pixel_count,.geo
2010_01_01,1.170000000000016,-0.75,-2.849999999999966,0.9153956020238001,1262304000000,29,
2010_01_02,,,,,1262390400000,0,
2010_01_03,0.6900000000000546,-0.18999999999999773,-0.8499999999999659,0.5398278049127491,1262476800000,21,
2010_01_04,,,,,1262563200000,0,
2010_01_05,,,,,1262649600000,0,
2010_01_06,,,,,1262736000000,0,
2010_01_07,,,,,1262822400000,0,
2010_01_08,,,,,1262908800000,0,
2010_01_09,,,,,1262995200000,0,
2010_01_10,3.7100000000000364,-0.7199999999999989,-1.8099999999999454,1.910157061605143,1263081600000,8,
2010_01_11,,,,,1263168000000,0,
2010_01_12,,,,,1263254400000,0,
2010_01_13,,,,,1263340800000,0,
2010_01_14,3.590000000000032,2.120000000000033,0.9700000000000273,0.6238731842289748,1263427200000,40,
2010_01_15,,,,,1263513600000,0,
2010_01_16,,,,,1263600000000,0,
2010_01_17,,,,,1263686400000,0,
2010_01_18,,,,,1263772800000,0,
2010_01_19,,,,,1263859200000,0,
2010_01_20,,,,,1263945600000,0,
2010_01_21,,,,,1264032000000,0,
2010_01_22,,,,,1264118400000,0,
2010_01_23,,,,,1264204800000,0,
2010_01_24,,,,,1264291200000,0,
2010_01_25,,,,,1264377600000,0,
2010_01_26,-3.269999999999982,-4.92999999999995,-6.849999999999966,0.889230378848279,1264464000000,15,
2010_01_27,,,,,1264550400000,0,
2010_01_28,,,,,1264636800000,0,
2010_01_29,,,,,1264723200000,0,
2010_01_30,0.3100000000000023,-0.3699999999999477,-1.329999999999984,0.6162539159217502,1264809600000,15,
2010_01_31,2.390000000000043,-1.0299999999999727,-2.4499999999999886,1.0704549145141846,1264896000000,23,
2010_02_01,,,,,1264982400000,0,
2010_02_02,,,,,1265068800000,0,
2010_02_03,4.750000000000057,2.1300000000000523,0.8300000000000409,1.1881198966808393,1265155200000,30,
2010_02_04,,,,,1265241600000,0,
2010_02_05,4.470000000000027,2.7100000000000364,0.27000000000003865,1.3907177527336634,1265328000000,11,
2010_02_06,,,,,1265414400000,0,
2010_02_07,3.090000000000032,3.0500000000000114,3.0500000000000114,0.01885618083167163,1265500800000,3,
2010_02_08,,,,,1265587200000,0,
2010_02_09,9.07000000000005,3.650000000000034,2.1300000000000523,1.9753123764040488,1265673600000,32,
2010_02_10,,,,,1265760000000,0,
2010_02_11,,,,,1265846400000,0,
2010_02_12,,,,,1265932800000,0,
2010_02_13,,,,,1266019200000,0,
2010_02_14,,,,,1266105600000,0,
2010_02_15,7.210000000000036,3.730000000000018,0.7300000000000182,1.6702180703030571,1266192000000,39,
2010_02_16,12.990000000000009,7.310000000000031,4.490000000000009,2.2931007391739158,1266278400000,40,
2010_02_17,11.410000000000025,8.220000000000027,5.970000000000027,1.264890410272764,1266364800000,40,
2010_02_18,12.29000000000002,7.430000000000035,5.710000000000036,1.918358412810288,1266451200000,40,
2010_02_19,11.690000000000055,9.340000000000003,7.4500000000000455,0.8800384934762843,1266537600000,40,
2010_02_20,9.510000000000048,5.710000000000036,3.6100000000000136,1.4092705178584148,1266624000000,39,
2010_02_21,8.750000000000057,6.2900000000000205,4.310000000000002,1.1492492114419748,1266710400000,40,
2010_02_22,,,,,1266796800000,0,
2010_02_23,,,,,1266883200000,0,
2010_02_24,,,,,1266969600000,0,
2010_02_25,6.810000000000002,4.410000000000025,2.8500000000000227,1.3102266025386617,1267056000000,8,
2010_02_26,,,,,1267142400000,0,
2010_02_27,11.830000000000041,5.580000000000041,4.090000000000032,2.1235060042298004,1267228800000,40,
2010_02_28,7.4500000000000455,4.620000000000033,0.9700000000000273,1.6144889622958114,1267315200000,32,
2010_03_01,7.810000000000002,1.1800000000000068,-0.75,2.3042710456678295,1267401600000,34,
2010_03_02,,,,,1267488000000,0,
2010_03_03,,,,,1267574400000,0,
2010_03_04,,,,,1267660800000,0,
2010_03_05,-5.669999999999959,-5.669999999999959,-5.669999999999959,0.0,1267747200000,1,
2010_03_06,,,,,1267833600000,0,
2010_03_07,15.770000000000039,11.240000000000038,7.930000000000007,1.6798302741646338,1267920000000,40,
2010_03_08,-5.169999999999959,-5.169999999999959,-5.169999999999959,0.0,1268006400000,1,
2010_03_09,,,,,1268092800000,0,
2010_03_10,5.430000000000007,3.5600000000000307,1.6900000000000546,1.869999999999976,1268179200000,2,
2010_03_11,,,,,1268265600000,0,
2010_03_12,,,,,1268352000000,0,
2010_03_13,0.4900000000000091,0.4900000000000091,0.4900000000000091,0.0,1268438400000,1,
2010_03_14,1.0100000000000477,1.0100000000000477,1.0100000000000477,0.0,1268524800000,1,
2010_03_15,17.690000000000055,7.830000000000041,5.390000000000043,3.250562682059826,1268611200000,40,
2010_03_16,14.730000000000018,10.210000000000036,5.9500000000000455,2.4002689965403414,1268697600000,39,
2010_03_17,21.190000000000055,9.410000000000025,6.430000000000007,3.4341506955869043,1268784000000,40,
2010_03_18,20.03000000000003,12.420000000000044,7.910000000000025,3.248076007423484,1268870400000,40,
2010_03_19,21.670000000000016,14.140000000000015,9.650000000000034,3.1333622516395985,1268956800000,40,
2010_03_20,23.05000000000001,11.250000000000028,8.050000000000011,3.6635362356608314,1269043200000,40,
2010_03_21,,,,,1269129600000,0,
2010_03_22,16.950000000000045,13.540000000000049,6.53000000000003,3.653964361560687,1269216000000,12,
2010_03_23,12.410000000000025,8.190000000000055,5.590000000000032,1.6433470781843875,1269302400000,17,
2010_03_24,19.730000000000018,10.53000000000003,8.310000000000002,3.5711335187598405,1269388800000,39,
2010_03_25,,,,,1269475200000,0,
2010_03_26,,,,,1269561600000,0,
2010_03_27,19.970000000000027,10.110000000000014,6.910000000000025,3.568423986860305,1269648000000,40,
2010_03_28,,,,,1269734400000,0,
2010_03_29,,,,,1269820800000,0,
2010_03_30,,,,,1269907200000,0,
2010_03_31,8.650000000000034,4.9500000000000455,4.130000000000052,1.1766909759544175,1269993600000,11,
2010_04_01,5.710000000000036,4.890000000000043,1.6100000000000136,1.6579803272150433,1270080000000,9,
2010_04_02,,,,,1270166400000,0,
2010_04_03,,,,,1270252800000,0,
2010_04_04,,,,,1270339200000,0,
2010_04_05,6.430000000000007,0.5100000000000477,-4.589999999999975,2.8599702372202156,1270425600000,17,
2010_04_06,-2.329999999999984,-2.329999999999984,-2.329999999999984,0.0,1270512000000,2,
2010_04_07,24.99000000000001,12.870000000000033,5.7900000000000205,5.008922014765256,1270598400000,40,
2010_04_08,13.190000000000055,9.330000000000013,7.3700000000000045,1.4268484447813656,1270684800000,32,
2010_04_09,23.03000000000003,9.110000000000042,6.3700000000000045,4.787306421160344,1270771200000,38,
2010_04_10,,,,,1270857600000,0,
2010_04_11,,,,,1270944000000,0,
2010_04_12,,,,,1271030400000,0,
2010_04_13,,,,,1271116800000,0,
2010_04_14,2.750000000000057,2.750000000000057,2.750000000000057,0.0,1271203200000,1,
2010_04_15,19.010000000000048,14.03000000000003,10.150000000000034,2.5668614590585017,1271289600000,40,
2010_04_16,14.690000000000055,14.690000000000055,14.690000000000055,0.0,1271376000000,1,
2010_04_17,17.730000000000018,9.430000000000035,5.970000000000027,3.8972394075807064,1271462400000,20,
2010_04_18,31.99000000000001,21.130000000000024,13.990000000000009,5.00140570240004,1271548800000,40,
2010_04_19,1.8900000000000432,1.8900000000000432,1.8900000000000432,0.0,1271635200000,1,
2010_04_20,,,,,1271721600000,0,
2010_04_21,,,,,1271808000000,0,
2010_04_22,6.170000000000016,6.170000000000016,6.170000000000016,0.0,1271894400000,1,
2010_04_23,21.910000000000025,15.020000000000039,11.250000000000057,2.91386575007626,1271980800000,26,
2010_04_24,16.450000000000045,12.220000000000027,10.050000000000011,1.823302102109132,1272067200000,12,
2010_04_25,29.910000000000025,19.210000000000036,12.990000000000009,4.314148635759361,1272153600000,37,
2010_04_26,,,,,1272240000000,0,
2010_04_27,,,,,1272326400000,0,
2010_04_28,,,,,1272412800000,0,
2010_04_29,,,,,1272499200000,0,
2010_04_30,6.8700000000000045,6.8700000000000045,6.8700000000000045,0.0,1272585600000,1,
2010_05_01,11.190000000000055,9.57000000000005,6.810000000000002,1.4846629247071765,1272672000000,5,
2010_05_02,26.03000000000003,14.690000000000055,8.690000000000055,5.068521482533495,1272758400000,23,
2010_05_03,,,,,1272844800000,0,
2010_05_04,27.27000000000004,16.840000000000032,12.53000000000003,3.7982493006647267,1272931200000,40,
2010_05_05,12.270000000000039,12.220000000000027,12.170000000000016,0.049999999999977264,1273017600000,2,
2010_05_06,24.950000000000045,16.05000000000001,11.170000000000016,4.135357206360113,1273104000000,39,
2010_05_07,28.250000000000057,14.07000000000005,9.670000000000016,5.028126473820522,1273190400000,35,
2010_05_08,16.130000000000052,13.750000000000057,13.57000000000005,1.1666857141302485,1273276800000,3,
2010_05_09,24.27000000000004,13.190000000000026,9.510000000000048,3.593641607061003,1273363200000,20,
2010_05_10,,,,,1273449600000,0,
2010_05_11,,,,,1273536000000,0,
2010_05_12,13.590000000000032,10.370000000000005,7.170000000000016,1.891094597187091,1273622400000,14,
2010_05_13,29.590000000000032,19.190000000000055,11.510000000000048,4.661812698152188,1273708800000,35,
2010_05_14,33.39000000000004,21.380000000000024,16.630000000000052,3.8536399672556767,1273795200000,38,
2010_05_15,29.650000000000034,20.610000000000014,16.930000000000007,3.3096087471440208,1273881600000,39,
2010_05_16,,,,,1273968000000,0,
2010_05_17,21.870000000000005,18.760000000000048,7.430000000000007,4.8807604143434675,1274054400000,6,
2010_05_18,20.690000000000055,20.450000000000045,18.99000000000001,0.7512360185424883,1274140800000,3,
2010_05_19,,,,,1274227200000,0,
2010_05_20,27.99000000000001,22.49000000000001,12.57000000000005,4.950985311587536,1274313600000,12,
2010_05_21,6.210000000000036,6.210000000000036,6.210000000000036,0.0,1274400000000,1,
2010_05_22,,,,,1274486400000,0,
2010_05_23,17.870000000000005,11.970000000000027,8.710000000000036,2.0817867325929416,1274572800000,20,
2010_05_24,,,,,1274659200000,0,
2010_05_25,,,,,1274745600000,0,
2010_05_26,14.810000000000002,9.840000000000003,5.590000000000032,2.1936223467133096,1274832000000,20,
2010_05_27,20.650000000000034,9.55000000000004,5.430000000000007,4.185758115323918,1274918400000,20,
2010_05_28,13.590000000000032,9.130000000000052,4.9500000000000455,2.602422423269472,1275004800000,9,
2010_05_29,31.630000000000052,18.400000000000034,14.07000000000005,4.718442433685067,1275091200000,40,
2010_05_30,34.49000000000001,21.04000000000002,16.670000000000016,4.548746090957421,1275177600000,40,
2010_05_31,,,,,1275264000000,0,
2010_06_01,,,,,1275350400000,0,
2010_06_02,,,,,1275436800000,0,
2010_06_03,,,,,1275523200000,0,
2010_06_04,,,,,1275609600000,0,
2010_06_05,,,,,1275696000000,0,
2010_06_06,,,,,1275782400000,0,
2010_06_07,32.77000000000004,23.390000000000015,17.910000000000025,4.0735836495646085,1275868800000,40,
2010_06_08,,,,,1275955200000,0,
2010_06_09,,,,,1276041600000,0,
2010_06_10,,,,,1276128000000,0,
2010_06_11,24.77000000000004,19.50000000000003,17.03000000000003,2.5810135333575968,1276214400000,32,
2010_06_12,38.63000000000005,18.960000000000036,16.210000000000036,6.4413999836991875,1276300800000,40,
2010_06_13,34.97000000000003,27.110000000000042,20.230000000000018,3.6658592444337543,1276387200000,40,
2010_06_14,39.75000000000006,23.77000000000004,19.99000000000001,5.959032954263628,1276473600000,40,
2010_06_15,36.27000000000004,21.28000000000003,18.07000000000005,5.013950131220612,1276560000000,28,
2010_06_16,13.310000000000002,13.310000000000002,13.310000000000002,0.0,1276646400000,1,
2010_06_17,39.93000000000001,23.58000000000004,19.29000000000002,4.779186523114032,1276732800000,38,
2010_06_18,31.79000000000002,24.83000000000004,20.010000000000048,2.7391314694763977,1276819200000,31,
2010_06_19,,,,,1276905600000,0,
2010_06_20,20.010000000000048,20.010000000000048,20.010000000000048,0.0,1276992000000,1,
2010_06_21,39.43000000000001,23.430000000000007,19.130000000000052,5.720019356022118,1277078400000,39,
2010_06_22,31.710000000000036,20.03000000000003,17.250000000000057,5.413681474508646,1277164800000,11,
2010_06_23,26.29000000000002,21.610000000000014,20.870000000000005,1.910349008253031,1277251200000,6,
2010_06_24,41.950000000000045,26.250000000000057,18.07000000000005,6.159115352741407,1277337600000,33,
2010_06_25,,,,,1277424000000,0,
2010_06_26,47.09000000000003,28.170000000000016,23.79000000000002,6.121690922449549,1277510400000,40,
2010_06_27,40.450000000000045,32.79000000000002,27.410000000000025,2.720487979691375,1277596800000,38,
2010_06_28,49.410000000000025,32.75000000000003,22.690000000000055,7.447365977310409,1277683200000,20,
2010_06_29,37.210000000000036,28.670000000000016,24.750000000000057,3.653865168101686,1277769600000,30,
2010_06_30,39.83000000000004,30.450000000000045,23.170000000000016,4.631677593845803,1277856000000,15,
2010_07_01,40.690000000000055,38.620000000000005,29.49000000000001,2.358890393572729,1277942400000,36,
2010_07_02,31.410000000000025,27.50000000000003,23.590000000000032,3.9099999999999984,1278028800000,2,
2010_07_03,39.39000000000004,33.63000000000005,21.430000000000007,7.487613475304122,1278115200000,3,
2010_07_04,35.910000000000025,33.23000000000002,25.05000000000001,3.470354164158374,1278201600000,9,
2010_07_05,48.870000000000005,35.47000000000003,25.27000000000004,6.005285427123737,1278288000000,14,
2010_07_06,40.33000000000004,33.49000000000004,23.350000000000023,4.926558129160754,1278374400000,8,
2010_07_07,48.77000000000004,37.410000000000025,23.690000000000055,6.008961013082643,1278460800000,17,
2010_07_08,,,,,1278547200000,0,
2010_07_09,47.23000000000002,33.610000000000014,23.950000000000045,6.625145348717469,1278633600000,27,
2010_07_10,50.97000000000003,33.28000000000003,25.210000000000036,6.413242955564764,1278720000000,26,
2010_07_11,39.33000000000004,32.610000000000014,26.27000000000004,3.005763791821071,1278806400000,24,
2010_07_12,47.99000000000001,35.23000000000002,24.55000000000001,7.130937318193949,1278892800000,19,
2010_07_13,39.650000000000034,31.730000000000018,26.090000000000032,2.7968956596221997,1278979200000,23,
2010_07_14,50.77000000000004,36.23000000000002,25.05000000000001,6.912129140265026,1279065600000,21,
2010_07_15,48.23000000000002,34.33000000000004,28.130000000000052,4.79938457345837,1279152000000,36,
2010_07_16,49.49000000000001,32.97000000000003,27.370000000000005,6.620652597465496,1279238400000,28,
2010_07_17,49.33000000000004,32.63000000000005,26.150000000000034,6.1560529613091655,1279324800000,33,
2010_07_18,45.79000000000002,31.210000000000008,27.390000000000043,4.65041866394842,1279411200000,32,
2010_07_19,48.97000000000003,32.07000000000002,26.610000000000014,6.386456586744757,1279497600000,32,
2010_07_20,40.610000000000014,31.750000000000057,29.53000000000003,2.208913948605251,1279584000000,29,
2010_07_21,48.83000000000004,34.450000000000045,25.450000000000045,7.238660097006917,1279670400000,20,
2010_07_22,42.81,31.150000000000034,27.49000000000001,3.426511085962149,1279756800000,30,
2010_07_23,47.710000000000036,31.090000000000032,26.230000000000018,6.4147935911149645,1279843200000,34,
2010_07_24,50.670000000000016,33.56000000000003,27.650000000000034,5.553087060390551,1279929600000,38,
2010_07_25,,,,,1280016000000,0,
2010_07_26,45.910000000000025,29.360000000000042,26.870000000000005,4.099165855913397,1280102400000,28,
2010_07_27,,,,,1280188800000,0,
2010_07_28,44.55000000000001,32.110000000000014,24.110000000000014,6.741327762392207,1280275200000,8,
2010_07_29,42.79000000000002,33.57000000000002,28.130000000000052,3.553844694232806,1280361600000,34,
2010_07_30,47.63000000000005,31.51000000000002,24.710000000000036,7.234239697438865,1280448000000,20,
2010_07_31,39.93000000000001,31.190000000000055,25.250000000000057,3.6506968978539347,1280534400000,25,
2010_08_01,45.53000000000003,31.77000000000004,23.450000000000045,5.872795055151277,1280620800000,29,
2010_08_02,46.77000000000004,31.170000000000016,25.05000000000001,5.655243721628706,1280707200000,35,
2010_08_03,42.79000000000002,29.190000000000055,25.83000000000004,5.142653837251254,1280793600000,35,
2010_08_04,48.670000000000016,31.75000000000003,24.130000000000052,7.54373367447969,1280880000000,26,
2010_08_05,39.35000000000002,31.310000000000002,28.150000000000034,2.6244357126663,1280966400000,33,
2010_08_06,46.75000000000006,33.82000000000002,22.930000000000007,7.348959109969276,1281052800000,18,
2010_08_07,39.370000000000005,30.870000000000033,25.55000000000001,3.2355198792294253,1281139200000,30,
2010_08_08,44.63000000000005,29.99000000000001,23.930000000000007,6.088496733197432,1281225600000,33,
2010_08_09,,,,,1281312000000,0,
2010_08_10,,,,,1281398400000,0,
2010_08_11,36.110000000000014,30.860000000000042,22.29000000000002,5.209548924811055,1281484800000,4,
2010_08_12,38.31,29.04000000000005,24.190000000000055,4.109251000727749,1281571200000,26,
2010_08_13,47.950000000000045,28.75000000000003,23.53000000000003,6.841439502302744,1281657600000,34,
2010_08_14,41.870000000000005,33.81000000000003,27.250000000000057,3.8158075135690193,1281744000000,38,
2010_08_15,,,,,1281830400000,0,
2010_08_16,46.07000000000005,32.97000000000003,27.430000000000007,4.848569866465763,1281916800000,40,
2010_08_17,44.31,33.690000000000055,24.390000000000043,6.504271913065479,1282003200000,23,
2010_08_18,22.390000000000043,22.390000000000043,22.390000000000043,0.0,1282089600000,1,
2010_08_19,42.59000000000003,30.07000000000005,25.350000000000023,4.861115047617409,1282176000000,27,
2010_08_20,47.43000000000001,34.110000000000014,23.49000000000001,7.265241894967301,1282262400000,17,
2010_08_21,32.33000000000004,28.460000000000036,23.510000000000048,3.026615271222944,1282348800000,10,
2010_08_22,38.650000000000034,36.680000000000035,21.010000000000048,7.11525649572803,1282435200000,4,
2010_08_23,39.07000000000005,29.090000000000032,22.850000000000023,4.032059513933287,1282521600000,29,
2010_08_24,48.23000000000002,29.24000000000001,22.130000000000052,7.27655066768432,1282608000000,34,
2010_08_25,46.47000000000003,30.51000000000002,23.910000000000025,5.850625607573861,1282694400000,40,
2010_08_26,41.39000000000004,26.79000000000002,21.970000000000027,5.349925379000525,1282780800000,31,
2010_08_27,36.410000000000025,25.06000000000003,21.470000000000027,4.404036934712774,1282867200000,22,
2010_08_28,,,,,1282953600000,0,
2010_08_29,16.910000000000025,16.910000000000025,16.910000000000025,0.0,1283040000000,1,
2010_08_30,,,,,1283126400000,0,
2010_08_31,15.990000000000009,15.990000000000009,15.990000000000009,0.0,1283212800000,1,
2010_09_01,28.210000000000036,23.380000000000052,19.55000000000001,2.637309993155922,1283299200000,20,
2010_09_02,38.85000000000002,24.860000000000014,20.57000000000005,5.4464968328275285,1283385600000,40,
2010_09_03,41.410000000000025,27.080000000000013,20.950000000000045,5.847772204010639,1283472000000,40,
2010_09_04,37.79000000000002,25.970000000000027,21.33000000000004,4.471507327264222,1283558400000,36,
2010_09_05,28.590000000000032,20.870000000000005,18.510000000000048,3.222165958265335,1283644800000,19,
2010_09_06,30.210000000000036,25.03000000000003,21.310000000000002,2.3936062524217676,1283731200000,27,
2010_09_07,,,,,1283817600000,0,
2010_09_08,,,,,1283904000000,0,
2010_09_09,13.810000000000002,13.810000000000002,13.810000000000002,0.0,1283990400000,1,
2010_09_10,35.610000000000014,23.110000000000014,18.690000000000055,3.956015288140328,1284076800000,25,
2010_09_11,37.33000000000004,25.02000000000001,19.210000000000036,5.193785973871305,1284163200000,38,
2010_09_12,39.710000000000036,24.29000000000002,20.110000000000014,5.492775960295499,1284249600000,40,
