system:index,LST_Night_1km_max,LST_Night_1km_median,LST_Night_1km_min,LST_Night_1km_stdDev,modis_time,pixel_count,.geo
2008_03_17,0.4500000000000455,-0.7499999999999716,-2.4899999999999523,0.6281520516562836,1205712000000,40,
2008_03_18,0.21000000000003638,0.010000000000047748,-0.5299999999999727,0.24510859271397223,1205798400000,15,
2008_03_19,1.330000000000041,0.3000000000000398,-0.6099999999999568,0.5195463358178295,1205884800000,36,
2008_03_20,-0.2699999999999818,-1.0199999999999818,-2.8699999999999477,0.822124618831528,1205971200000,36,
2008_03_21,2.390000000000043,0.4700000000000273,-2.5299999999999727,1.0556888496940888,1206057600000,38,
2008_03_22,2.1900000000000546,0.4900000000000091,-2.409999999999968,0.9566370542829645,1206144000000,33,
2008_03_23,0.8500000000000227,-0.40999999999996817,-3.109999999999957,1.1569170855584823,1206230400000,14,
2008_03_24,0.09000000000003183,-1.0399999999999636,-2.909999999999968,1.3407740301780893,1206316800000,4,
2008_03_25,-3.6299999999999955,-3.6299999999999955,-3.6299999999999955,0.0,1206403200000,1,
2008_03_26,,,,,1206489600000,0,
2008_03_27,1.0900000000000318,0.5400000000000205,-2.9899999999999523,0.874061004100332,1206576000000,24,
2008_03_28,,,,,1206662400000,0,
2008_03_29,-5.329999999999984,-5.749999999999972,-6.169999999999959,0.4199999999999843,1206748800000,2,
2008_03_30,,,,,1206835200000,0,
2008_03_31,2.830000000000041,2.0000000000000284,-5.25,1.6244610644764665,1206921600000,40,
2008_04_01,-5.689999999999998,-5.689999999999998,-5.689999999999998,0.0,1207008000000,1,
2008_04_02,3.650000000000034,2.930000000000007,-2.269999999999982,1.4083777014707388,1207094400000,40,
2008_04_03,4.53000000000003,3.1800000000000352,0.37000000000000455,0.8373193835090647,1207180800000,40,
2008_04_04,,,,,1207267200000,0,
2008_04_05,,,,,1207353600000,0,
2008_04_06,-7.269999999999982,-7.269999999999982,-7.269999999999982,0.0,1207440000000,1,
2008_04_07,4.670000000000016,3.830000000000041,-1.7899999999999636,1.617735377000828,1207526400000,40,
2008_04_08,,,,,1207612800000,0,
