system:index,LST_Day_1km_median,LST_Day_1km_stdDev,maxLST,minLST,modis_time,pixel_count,.geo
2009_02_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1235260800000,0,
2009_02_23,-1.849999999999966,0.0,{LST_Day_1km=-1.849999999999966},{LST_Day_1km=-1.849999999999966},1235347200000,3,
2009_02_24,5.3700000000000045,2.228577578791316,{LST_Day_1km=12.270000000000039},{LST_Day_1km=2.8500000000000227},1235433600000,45,
2009_02_25,0.4900000000000091,1.061057844794526,{LST_Day_1km=2.7900000000000205},{LST_Day_1km=-0.5299999999999727},1235520000000,8,
2009_02_26,2.4500000000000455,1.8311774900320286,{LST_Day_1km=9.850000000000023},{LST_Day_1km=0.29000000000002046},1235606400000,40,
2009_02_27,5.7900000000000205,1.6684022962769531,{LST_Day_1km=10.29000000000002},{LST_Day_1km=4.57000000000005},1235692800000,45,
2009_02_28,,,{LST_Day_1km=null},{LST_Day_1km=null},1235779200000,0,
2009_03_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1235865600000,0,
2009_03_02,0.4500000000000455,0.0,{LST_Day_1km=0.4500000000000455},{LST_Day_1km=0.4500000000000455},1235952000000,1,
2009_03_03,,,{LST_Day_1km=null},{LST_Day_1km=null},1236038400000,0,
2009_03_04,0.2300000000000182,0.4455328894206913,{LST_Day_1km=0.8700000000000045},{LST_Day_1km=-0.6099999999999568},1236124800000,15,
2009_03_05,,,{LST_Day_1km=null},{LST_Day_1km=null},1236211200000,0,
2009_03_06,,,{LST_Day_1km=null},{LST_Day_1km=null},1236297600000,0,
2009_03_07,2.4600000000000364,1.2087620878915626,{LST_Day_1km=6.130000000000052},{LST_Day_1km=0.19000000000005457},1236384000000,44,
2009_03_08,0.46000000000000796,1.6233804236838614,{LST_Day_1km=2.170000000000016},{LST_Day_1km=-3.849999999999966},1236470400000,20,
2009_03_09,0.5300000000000296,0.7772976328134027,{LST_Day_1km=2.650000000000034},{LST_Day_1km=-1.2099999999999795},1236556800000,42,
2009_03_10,2.6300000000000523,1.8056501718798896,{LST_Day_1km=8.850000000000023},{LST_Day_1km=1.8500000000000227},1236643200000,45,
2009_03_11,5.430000000000007,1.748630730628616,{LST_Day_1km=9.870000000000005},{LST_Day_1km=3.990000000000009},1236729600000,45,
2009_03_12,5.9500000000000455,3.2995073032870303,{LST_Day_1km=15.310000000000002},{LST_Day_1km=3.8100000000000023},1236816000000,45,
2009_03_13,10.550000000000011,2.6469970873136552,{LST_Day_1km=17.390000000000043},{LST_Day_1km=6.610000000000014},1236902400000,45,
2009_03_14,0.9900000000000091,3.365511352924934,{LST_Day_1km=2.2900000000000205},{LST_Day_1km=-5.409999999999968},1236988800000,3,
2009_03_15,,,{LST_Day_1km=null},{LST_Day_1km=null},1237075200000,0,
2009_03_16,0.8600000000000136,1.0500000000000114,{LST_Day_1km=1.910000000000025},{LST_Day_1km=-0.18999999999999773},1237161600000,2,
2009_03_17,6.07000000000005,3.3207358350953644,{LST_Day_1km=15.190000000000055},{LST_Day_1km=3.170000000000016},1237248000000,37,
2009_03_18,12.630000000000052,2.5140148403070417,{LST_Day_1km=19.090000000000032},{LST_Day_1km=9.810000000000002},1237334400000,45,
2009_03_19,13.980000000000018,4.537674927757608,{LST_Day_1km=20.07000000000005},{LST_Day_1km=4.03000000000003},1237420800000,8,
2009_03_20,12.910000000000025,3.3086712922140076,{LST_Day_1km=18.99000000000001},{LST_Day_1km=4.110000000000014},1237507200000,39,
2009_03_21,,,{LST_Day_1km=null},{LST_Day_1km=null},1237593600000,0,
2009_03_22,,,{LST_Day_1km=null},{LST_Day_1km=null},1237680000000,0,
2009_03_23,6.320000000000022,0.4339585233636886,{LST_Day_1km=7.090000000000032},{LST_Day_1km=5.510000000000048},1237766400000,10,
2009_03_24,,,{LST_Day_1km=null},{LST_Day_1km=null},1237852800000,0,
2009_03_25,,,{LST_Day_1km=null},{LST_Day_1km=null},1237939200000,0,
2009_03_26,8.850000000000023,3.8564722012916484,{LST_Day_1km=19.750000000000057},{LST_Day_1km=6.7900000000000205},1238025600000,38,
2009_03_27,14.970000000000027,2.3561617390357714,{LST_Day_1km=20.930000000000007},{LST_Day_1km=11.650000000000034},1238112000000,44,
2009_03_28,13.430000000000007,3.912778281035486,{LST_Day_1km=24.79000000000002},{LST_Day_1km=11.150000000000034},1238198400000,45,
2009_03_29,,,{LST_Day_1km=null},{LST_Day_1km=null},1238284800000,0,
2009_03_30,11.610000000000042,1.8034288329611445,{LST_Day_1km=12.950000000000045},{LST_Day_1km=8.050000000000011},1238371200000,6,
2009_03_31,,,{LST_Day_1km=null},{LST_Day_1km=null},1238457600000,0,
2009_04_01,,,{LST_Day_1km=null},{LST_Day_1km=null},1238544000000,0,
2009_04_02,6.110000000000014,0.0,{LST_Day_1km=6.110000000000014},{LST_Day_1km=6.110000000000014},1238630400000,1,
2009_04_03,,,{LST_Day_1km=null},{LST_Day_1km=null},1238716800000,0,
2009_04_04,8.390000000000043,4.581824514986807,{LST_Day_1km=21.99000000000001},{LST_Day_1km=5.810000000000002},1238803200000,33,
2009_04_05,15.390000000000043,3.7653488091172767,{LST_Day_1km=23.670000000000016},{LST_Day_1km=9.750000000000057},1238889600000,45,
2009_04_06,11.250000000000057,5.998755862745752,{LST_Day_1km=27.130000000000052},{LST_Day_1km=8.330000000000041},1238976000000,44,
2009_04_07,,,{LST_Day_1km=null},{LST_Day_1km=null},1239062400000,0,
2009_04_08,,,{LST_Day_1km=null},{LST_Day_1km=null},1239148800000,0,
